"DADO","TAU-MK","SENS SLOPE","P VALUE","PETTIT TEST","P VALUE"
"Média...C.","0.158462435007095","0.0228758169934641","0.112474041197552","27","0.225374193121647"
"Máxima...C.","-0.0977737456560135","-0.019375","0.3296163805371","15","0.699307316977066"
"Mínima...C.","0.16452930867672","0.0405827702702703","0.0994068843363744","27","0.216108283392017"
"PDD...C.","0.40068057179451","3.30261437908497","5.08961485443328e-05","21","0.000573212587431409"
"FTD..dias.","0.158325895667076","0.280193236714976","0.112518606117078","33","0.0523221906761099"
"Dias..0.C","0.29304039478302","1","0.00318608833912337","24","0.0073301025526015"
"Dias..10.C","0.0729425176978111","0.0244047619047619","0.477611304085203","33","0.388982632506995"
"FTD...C.","-0.223734587430954","-3.94083484573503","0.0239156986699032","33","0.0335422498293598"
