"DADO","TAU-MK","SENS SLOPE","P VALUE","PETTIT TEST","P VALUE"
"Média...C.","0.157810255885124","0.0236068111455108","0.114373160434803","27","0.230120576562052"
"Máxima...C.","-0.0977737456560135","-0.019375","0.3296163805371","15","0.699307316977066"
"Mínima...C.","0.16452930867672","0.0405827702702703","0.0994068843363744","27","0.216108283392017"
"PDD...C.","0.244237914681435","2.01923076923077","0.0139858261862095","21","0.0119775600623017"
"FTD..dias.","0.107786364853382","0.228758169934641","0.281003847476892","33","0.202766717935761"
"Dias..0.C","0.183933421969414","0.0363756613756614","0.076970436498767","27","0.207140488895978"
"Dias..10.C","0.039547149091959","0","0.703161739417235","33","0.719731555525807"
"FTD...C.","-0.150574222207069","-3.14347826086957","0.129229466821417","33","0.230120576562052"
